"PName","POS","Team","GP","FG%","3P%","FT%","+/-","PPG","RPG","APG","TPG","SPG","BPG"
"Jayson Tatum","SF","BOS",74,46.6,35,85.4,470,30.1,8.8,4.6,2.9,1.1,0.7
"Joel Embiid","C","PHI",66,54.8,33,85.7,424,33.1,10.2,4.2,3.4,1,1.7
"Luka Doncic","PG","DAL",66,49.6,34.2,74.2,128,32.4,8.6,8,3.6,1.4,0.5
"Shai Gilgeous-Alexander","PG","OKC",68,51,34.5,90.5,149,31.4,4.8,5.5,2.8,1.6,1
"Giannis Antetokounmpo","PF","MIL",63,55.3,27.5,64.5,341,31.1,11.8,5.7,3.9,0.8,0.8
"Anthony Edwards","SG","MIN",79,45.9,36.9,75.6,97,24.6,5.8,4.4,3.3,1.6,0.7
"Julius Randle","PF","NYK",77,45.9,34.3,75.7,170,25.1,10,4.1,2.8,0.6,0.3
"Donovan Mitchell","SG","CLE",68,48.4,38.6,86.7,338,28.3,4.2,4.4,2.6,1.5,0.4
"Trae Young","PG","ATL",73,42.9,33.5,88.6,100,26.2,3,10.2,4.1,1.1,0.1
"Zach LaVine","SG","CHI",77,48.5,37.5,84.8,18,24.8,4.5,4.2,2.5,0.9,0.2
"Damian Lillard","PG","POR",58,46.3,37.1,91.4,105,32.2,4.8,7.3,3.3,0.9,0.3
"De'Aaron Fox","PG","SAC",73,51.2,32.4,78,176,25,4.2,6.1,2.5,1.1,0.3
"DeMar DeRozan","SF","CHI",74,50.4,32.4,87.2,67,24.5,4.6,5.1,2.1,1.1,0.5
"Jaylen Brown","SG","BOS",67,49.1,33.5,76.5,256,26.6,6.9,3.5,2.9,1.1,0.4
"Pascal Siakam","PF","TOR",71,48,32.4,77.4,123,24.2,7.8,5.8,2.4,0.9,0.5
"Lauri Markkanen","PF","UTA",66,49.9,39.2,87.5,163,25.6,8.6,1.9,1.9,0.6,0.6
"Nikola Jokic","C","DEN",69,63.2,38.3,82.2,640,24.5,11.8,9.8,3.6,1.3,0.7
"Jalen Green","SG","HOU",76,41.6,33.8,78.6,-447,22.1,3.7,3.7,2.6,0.8,0.2
"Jordan Poole","SG","GSW",82,43,33.6,87,-11,20.4,2.7,4.5,3.1,0.8,0.3
"Mikal Bridges","SF","BKN",83,46.8,38.2,89.5,36,20.1,4.4,3.3,1.5,1.1,0.7
"Stephen Curry","PG","GSW",56,49.3,42.7,91.5,268,29.4,6.1,6.3,3.2,0.9,0.4
"Jalen Brunson","PG","NYK",68,49.1,41.6,82.9,152,24,3.5,6.2,2.1,0.9,0.2
"Kyrie Irving","PG","DAL",60,49.4,37.9,90.5,222,27,5.1,5.5,2.1,1.1,0.8
"Ja Morant","PG","MEM",61,46.6,30.7,74.8,302,26.2,5.9,8.1,3.4,1.1,0.3
"LeBron James","SF","LAL",55,50,32.1,76.8,214,28.9,8.3,6.8,3.2,0.9,0.6
"CJ McCollum","SG","NOP",75,43.7,38.9,76.9,59,20.9,4.4,5.7,2.4,0.9,0.5
"Bam Adebayo","C","MIA",75,54,8.3,80.6,117,20.4,9.2,3.2,2.5,1.2,0.8
"Dejounte Murray","SG","ATL",74,46.4,34.4,83.2,-62,20.5,5.3,6.1,2.2,1.5,0.3
"Domantas Sabonis","PF","SAC",79,61.5,37.3,74.2,212,19.1,12.3,7.3,2.9,0.8,0.5
"Klay Thompson","SG","GSW",69,43.6,41.2,87.9,163,21.9,4.1,2.4,1.8,0.7,0.4
"Kristaps Porzingis","C","WAS",65,49.8,38.5,85.1,80,23.2,8.4,2.7,2.1,0.9,1.5
"Darius Garland","PG","CLE",69,46.2,41,86.3,438,21.6,2.7,7.8,2.9,1.2,0.1
"Franz Wagner","SF","ORL",80,48.5,36.1,84.2,50,18.6,4.1,3.5,2.1,1,0.2
"Devin Booker","SG","PHX",53,49.4,35.1,85.5,247,27.8,4.5,5.5,2.7,1,0.3
"Jimmy Butler","SF","MIA",64,53.9,35,85,47,22.9,5.9,5.3,1.6,1.8,0.3
"Anthony Davis","PF","LAL",56,56.3,25.7,78.4,205,25.9,12.5,2.6,2.2,1.1,2
"Nikola Vucevic","C","CHI",82,52,34.9,83.5,-20,17.6,11,3.2,1.7,0.7,0.7
"Paolo Banchero","PF","ORL",72,42.7,29.8,73.8,-215,20,6.9,3.7,2.8,0.8,0.5
"RJ Barrett","SG","NYK",73,43.4,31,74,-62,19.6,5,2.8,2.2,0.4,0.2
"Keldon Johnson","SF","SAS",63,45.2,32.9,74.9,-491,22,5,2.9,2.1,0.7,0.2
"Spencer Dinwiddie","PG","BKN",79,43.8,36.9,81.2,-8,17.3,3.4,6.5,1.8,0.8,0.3
"Kevin Durant","PF","PHX",47,56,40.4,91.9,258,29.1,6.7,5,3.3,0.7,1.4
"Kyle Kuzma","SF","WAS",64,44.8,33.3,73,10,21.2,7.2,3.7,3,0.6,0.5
"Tyler Herro","PG","MIA",67,43.9,37.8,93.4,170,20.1,5.4,4.2,2.4,0.8,0.2
"Buddy Hield","SG","IND",80,45.8,42.5,82.2,-84,16.8,5,2.8,1.7,1.1,0.3
"Fred VanVleet","SG","TOR",69,39.3,34.2,89.8,195,19.3,4.1,7.2,2,1.8,0.6
"Paul George","F","LAC",56,45.7,37.1,87.1,157,23.8,6.1,5.1,3.1,1.5,0.4
"Terry Rozier","SG","CHA",63,41.5,32.7,80.9,-288,21.1,4.1,5.1,2.1,1.2,0.3
"Anfernee Simons","SG","POR",62,44.7,37.7,89.4,-75,21.1,2.6,4.1,2.1,0.7,0.2
"Bennedict Mathurin","SG","IND",78,43.4,32.3,82.8,-179,16.7,4.1,1.5,1.9,0.6,0.2
"Jamal Murray","PG","DEN",65,45.4,39.8,83.3,300,20,4,6.2,2.2,1,0.2
"Jerami Grant","SF","POR",63,47.5,40.1,81.3,-35,20.5,4.5,2.4,1.8,0.8,0.8
"Jrue Holiday","PG","MIL",67,47.9,38.4,85.9,481,19.3,5.1,7.4,2.9,1.2,0.4
"Evan Mobley","PF","CLE",79,55.4,21.6,67.4,339,16.2,9,2.8,1.8,0.8,1.5
"Bojan Bogdanovic","SF","DET",59,48.8,41.1,88.4,-330,21.6,3.8,2.6,2.3,0.6,0.1
"Jordan Clarkson","PG","UTA",61,44.4,33.8,81.6,35,20.8,4,4.4,3,0.5,0.2
"D'Angelo Russell","PG","LAL",71,46.9,39.6,82.9,85,17.8,3,6.2,2.6,1,0.4
"Josh Giddey","SG","OKC",76,48.2,32.5,73.1,-105,16.6,7.9,6.2,2.8,0.8,0.4
"Desmond Bane","SG","MEM",58,47.9,40.8,88.3,356,21.5,5,4.4,2.2,1,0.4
"Brook Lopez","C","MIL",78,53.1,37.4,78.4,398,15.9,6.7,1.3,1.4,0.5,2.5
"Kawhi Leonard","SF","LAC",52,51.2,41.6,87.1,220,23.8,6.5,3.9,1.7,1.4,0.5
"Harrison Barnes","SF","SAC",82,47.3,37.4,84.7,255,15,4.5,1.6,1,0.7,0.1
"Tyrese Maxey","PG","PHI",60,48.1,43.4,84.5,241,20.3,2.9,3.5,1.3,0.8,0.1
"James Harden","SG","PHI",58,44.1,38.5,86.7,277,21,6.1,10.7,3.4,1.2,0.5
"Immanuel Quickley","SG","NYK",81,44.8,37,81.9,318,14.9,4.2,3.4,1.2,1,0.2
"Jaden Ivey","PG","DET",74,41.6,34.3,74.7,-642,16.3,3.9,5.2,3.2,0.8,0.2
"Deandre Ayton","C","PHX",67,58.9,29.2,76,-7,18,10,1.7,1.8,0.6,0.8
"Scottie Barnes","SF","TOR",77,45.6,28.1,77.2,175,15.3,6.6,4.8,2,1.1,0.8
"Jaren Jackson Jr.","PF","MEM",63,50.6,35.5,78.8,366,18.6,6.8,1,1.7,1,3
"Bradley Beal","SG","WAS",50,50.6,36.5,84.2,42,23.2,3.9,5.4,2.9,0.9,0.7
"Tyrese Haliburton","PG","IND",56,49,40,87.1,-35,20.7,3.7,10.4,2.5,1.6,0.4
"Russell Westbrook","PG","LAC",73,43.6,31.1,65.6,-21,15.9,5.8,7.5,3.5,1,0.5
"Gary Trent Jr.","SG","TOR",66,43.3,36.9,83.9,-52,17.4,2.6,1.6,0.8,1.6,0.2
"Trey Murphy III","SG","NOP",79,48.4,40.6,90.5,38,14.5,3.6,1.4,0.8,1.1,0.5
"P.J. Washington","PF","CHA",73,44.4,34.8,73,-375,15.7,4.9,2.4,1.5,0.9,1.1
"Kevin Huerter","SG","SAC",75,48.5,40.2,72.5,222,15.2,3.3,2.9,1.3,1.1,0.3
"Kevin Porter Jr.","SG","HOU",59,44.2,36.6,78.4,-343,19.2,5.3,5.7,3.2,1.4,0.3
"O.G. Anunoby","SF","TOR",67,47.6,38.7,83.8,132,16.8,5,2,2,1.9,0.7
"Jonas Valanciunas","C","NOP",79,54.7,34.9,82.6,-10,14.1,10.2,1.8,2,0.3,0.7
"Christian Wood","F","DAL",67,51.5,37.6,77.2,-46,16.6,7.3,1.8,1.8,0.4,1.1
"Myles Turner","C","IND",62,54.8,37.3,78.3,-47,18,7.5,1.4,1.7,0.6,2.3
"Brandon Ingram","SF","NOP",45,48.4,39,88.2,96,24.7,5.5,5.8,3.3,0.7,0.4
"Aaron Gordon","PF","DEN",68,56.4,34.7,60.8,518,16.3,6.6,3,1.4,0.8,0.8
"Alperen Sengun","C","HOU",75,55.3,33.3,71.5,-283,14.8,9,3.9,2.6,0.9,0.9
"Tobias Harris","PF","PHI",74,50.1,38.9,87.6,296,14.7,5.7,2.5,1.2,0.9,0.5
"Michael Porter Jr.","SF","DEN",62,48.7,41.4,80,418,17.4,5.5,1,1.1,0.6,0.5
"Saddiq Bey","SF","ATL",77,42.2,36.1,86.1,-147,13.8,4.7,1.5,0.9,0.9,0.2
"Jalen Williams","F","OKC",75,52.1,35.6,81.2,-53,14.1,4.5,3.3,1.6,1.4,0.5
"Dillon Brooks","SF","MEM",73,39.6,32.6,77.9,205,14.3,3.3,2.6,1.4,0.9,0.2
"Malik Monk","SG","SAC",77,44.8,35.9,88.9,68,13.5,2.6,3.9,1.9,0.6,0.3
"Kenyon Martin Jr.","F","HOU",82,56.9,31.5,68,-368,12.7,5.5,1.5,1.1,0.5,0.4
"De'Andre Hunter","SF","ATL",67,46.1,35,82.6,-18,15.4,4.2,1.4,1.2,0.5,0.3
"Malik Beasley","SG","LAL",81,39.5,35.7,76.9,-87,12.7,3.5,1.5,1.1,0.8,0.1
"Norman Powell","G","LAC",60,47.9,39.7,81.2,-124,17,2.9,1.8,1.7,0.8,0.3
"Tim Hardaway Jr.","SF","DAL",71,40.1,38.5,77,160,14.4,3.5,1.8,0.8,0.7,0.2
"Derrick White","PG","BOS",82,46.2,38.1,87.5,488,12.4,3.6,3.9,1.2,0.7,0.9
"Luguentz Dort","G","OKC",74,38.8,33,77.2,34,13.7,4.6,2.1,1.2,1,0.3
"Jabari Smith Jr.","PF","HOU",79,40.8,30.7,78.6,-555,12.8,7.2,1.3,1.3,0.5,0.9
"Malcolm Brogdon","PG","BOS",67,48.4,44.4,87,182,14.9,4.2,3.7,1.5,0.7,0.3
"Bobby Portis","F","MIL",70,49.6,37,76.8,17,14.1,9.6,1.5,1.2,0.4,0.2
"Keegan Murray","SF","SAC",80,45.3,41.1,76.5,99,12.2,4.6,1.2,0.8,0.8,0.5
"Kelly Oubre Jr.","SG","CHA",48,43.1,31.9,76,-278,20.2,5.2,1.1,1.3,1.4,0.4
"Jarrett Allen","C","CLE",68,64.4,10,73.3,345,14.2,9.8,1.7,1.4,0.8,1.2
"Nic Claxton","C","BKN",76,70.5,0,54.1,119,12.6,9.2,1.9,1.3,0.9,2.5
"Jaden McDaniels","PF","MIN",79,51.7,39.8,73.6,70,12.1,3.9,1.9,1.4,0.9,1
"Rudy Gobert","C","MIN",70,65.9,0,64.4,-7,13.4,11.6,1.2,1.7,0.8,1.4
"John Collins","PF","ATL",71,50.8,29.2,80.3,-21,13.1,6.5,1.2,1.1,0.6,1
"Bruce Brown","SF","DEN",80,48.3,35.8,75.8,31,11.5,4.1,3.4,1.5,1.1,0.6
"Max Strus","SG","MIA",80,41,35,87.6,-145,11.5,3.2,2.1,0.9,0.5,0.1
"Caris LeVert","SG","CLE",74,43.1,39.2,72.2,194,12.1,3.8,3.9,1.6,1,0.3
"Jakob Poeltl","C","TOR",72,62.9,0,59.2,-146,12.5,9.1,2.7,1.7,0.9,1.2
"Tre Jones","PG","SAS",68,45.9,28.5,86,-325,12.9,3.6,6.6,1.6,1.3,0.1
"Wendell Carter Jr.","C","ORL",57,52.5,35.6,73.8,-41,15.2,8.7,2.3,1.9,0.5,0.6
"Mason Plumlee","C","LAC",79,68,0,63.6,-269,10.8,8.9,3.1,1.5,0.6,0.6
"Eric Gordon","SG","LAC",69,44.6,37.1,82.1,-210,12.4,1.9,2.7,1.5,0.6,0.4
"Kelly Olynyk","PF","UTA",68,49.9,39.4,85.3,14,12.5,6.2,3.7,2.5,0.9,0.5
"LaMelo Ball","PG","CHA",36,41.1,37.6,84.3,-150,23.3,6.4,8.4,3.6,1.3,0.3
"Markelle Fultz","PG","ORL",60,51.4,31,78.3,-130,13.9,3.9,5.7,2.3,1.4,0.4
"Austin Reaves","SG","LAL",64,52.9,39.8,86.4,214,13,3,3.4,1.5,0.5,0.3
"Patrick Williams","PF","CHI",82,46.4,41.5,85.7,-142,10.2,4,1.2,1.2,0.9,0.9
"Dennis Schroder","PG","LAL",66,41.5,32.9,85.7,125,12.6,2.5,4.5,1.7,0.8,0.2
"Kentavious Caldwell-Pope","SG","DEN",76,46.2,42.3,82.4,493,10.8,2.7,2.4,1.1,1.5,0.5
"Tyus Jones","PG","MEM",80,43.8,37.1,80.6,95,10.3,2.5,5.2,0.9,1,0.1
"Corey Kispert","SF","WAS",74,49.7,42.4,85.2,-124,11.1,2.8,1.2,0.7,0.4,0.1
"Chris Paul","PG","PHX",59,44,37.5,83.1,84,13.9,4.3,8.9,1.9,1.5,0.4
"Ivica Zubac","C","LAC",76,63.4,0,69.7,-33,10.8,9.9,1,1.5,0.4,1.3
"Quentin Grimes","SG","NYK",71,46.8,38.6,79.6,186,11.3,3.2,2.1,1,0.7,0.4
"Mike Conley","PG","MIN",67,42.8,38.5,83.4,60,11.9,2.7,6.7,1.5,1.1,0.2
"Onyeka Okongwu","PF","ATL",80,63.8,30.8,78.1,63,9.9,7.2,1,1,0.7,1.3
"Shaedon Sharpe","SG","POR",80,47.2,36,71.4,-297,9.9,3,1.2,1,0.5,0.3
"Killian Hayes","PG","DET",76,37.7,28,82.1,-500,10.3,2.9,6.2,2.3,1.4,0.4
"Cole Anthony","PG","ORL",60,45.4,36.4,89.4,-26,13,4.8,3.9,1.5,0.6,0.5
"Naz Reid","C","MIN",68,53.7,34.6,67.7,-128,11.5,4.9,1.1,1.4,0.6,0.8
"De'Anthony Melton","SG","PHI",77,42.5,39,79.3,102,10.1,4.1,2.6,1.3,1.6,0.5
"Clint Capela","C","ATL",65,65.3,0,60.3,-30,12,11,0.9,0.8,0.7,1.2
"Tari Eason","F","HOU",82,44.8,34.3,75.2,-157,9.3,6,1.1,1.2,1.2,0.6
"Bogdan Bogdanovic","SG","ATL",54,44.7,40.6,83.1,64,14,3.1,2.8,1.2,0.8,0.3
"Jalen McDaniels","PF","PHI",80,45.5,33.2,84.1,-149,9.4,4.3,1.6,1.2,1,0.4
"Zion Williamson","PF","NOP",29,60.8,36.8,71.4,149,26,7,4.6,3.4,1.1,0.6
"Grayson Allen","SG","MIL",72,44,39.9,90.5,227,10.4,3.3,2.3,1,0.9,0.2
"Josh Hart","SG","NYK",76,52.9,37.2,75,315,9.8,7.8,3.8,1.5,1.2,0.3
"Aaron Nesmith","SF","IND",73,42.7,36.6,83.8,-211,10.1,3.8,1.3,1,0.8,0.5
"Gordon Hayward","SF","CHA",50,47.5,32.5,81.1,-108,14.7,4.3,4.1,2,0.8,0.2
"Zach Collins","PF","SAS",63,51.8,37.4,76.1,-239,11.6,6.4,2.9,2,0.6,0.8
"Marcus Morris Sr.","SF","LAC",65,42.6,36.5,78.2,-16,11.2,4,1.8,0.9,0.6,0.3
"Coby White","PG","CHI",74,44.3,37.2,87.1,143,9.7,2.9,2.8,1,0.7,0.1
"Terance Mann","SG","LAC",81,51.9,38.9,78,2,8.8,3.4,2.3,1,0.5,0.3
"Chris Boucher","PF","TOR",76,49.3,32.8,76.2,-18,9.4,5.5,0.4,0.5,0.6,0.8
"Andrew Nembhard","PG","IND",75,44.1,35,79,-263,9.5,2.7,4.5,1.7,0.9,0.2
"Rui Hachimura","PF","LAL",63,48.6,31.9,73.9,-28,11.2,4.5,0.9,0.8,0.3,0.4
"Daniel Gafford","C","WAS",78,73.2,0,67.9,-89,9,5.6,1.1,1.1,0.4,1.3
"Jaylen Nowell","SG","MIN",65,44.8,28.9,77.8,-8,10.8,2.6,2,1,0.6,0.1
"Devin Vassell","SG","SAS",38,43.9,38.7,78,-295,18.5,3.9,3.6,1.5,1.1,0.4
"Marcus Smart","PG","BOS",61,41.5,33.6,74.6,240,11.5,3.1,6.3,2.3,1.5,0.4
"Naji Marshall","SF","NOP",77,43.3,30.3,78.9,6,9.1,3.6,2.5,1.3,0.7,0.2
"Talen Horton-Tucker","SG","UTA",65,41.9,28.6,75,-8,10.7,3.2,3.8,1.9,0.6,0.4
"Deni Avdija","SF","WAS",76,43.7,29.7,73.9,-51,9.2,6.4,2.8,1.6,0.9,0.4
"Santi Aldama","PF","MEM",77,47,35.3,75,91,9,4.8,1.3,0.8,0.6,0.6
"Jusuf Nurkic","C","POR",52,51.9,36.1,66.1,9,13.3,9.1,2.9,2.3,0.8,0.8
"Reggie Jackson","PG","DEN",68,41.1,33.3,91,-79,10.2,2.1,3.4,1.7,0.7,0.1
"Isaiah Joe","SG","OKC",73,44.1,40.9,82,213,9.5,2.4,1.2,0.5,0.7,0.1
"Ayo Dosunmu","SG","CHI",80,49.3,31.2,80.5,-77,8.6,2.8,2.6,1.2,0.8,0.3
"Collin Sexton","PG","UTA",48,50.6,39.3,81.9,-28,14.3,2.2,2.9,1.8,0.6,0.1
"Caleb Martin","SF","MIA",71,46.4,35.6,80.5,-9,9.6,4.8,1.6,1.1,1,0.4
"Walker Kessler","C","UTA",74,72,33.3,51.6,72,9.2,8.4,0.9,0.8,0.4,2.3
"Donte DiVincenzo","SG","GSW",72,43.5,39.7,81.7,124,9.4,4.5,3.5,1.6,1.3,0.1
"Malaki Branham","G","SAS",66,44,30.2,82.9,-364,10.2,2.7,1.9,1.2,0.5,0.1
"Royce O'Neale","PF","BKN",76,38.6,38.9,72.5,78,8.8,5.1,3.7,1.5,0.9,0.6
"Cedi Osman","SF","CLE",77,45.1,37.2,69.4,228,8.7,2.3,1.5,0.7,0.5,0.1
"Jonathan Kuminga","PF","GSW",67,52.5,37,65.2,-53,9.9,3.4,1.9,1.4,0.6,0.5
"Bones Hyland","PG","LAC",56,39.9,37.1,84.3,-129,11.8,2.4,3.1,1.5,0.7,0.3
"Doug McDermott","SF","SAS",64,45.7,41.3,75.7,-237,10.2,2.2,1.4,0.9,0.2,0.1
"Josh Richardson","SG","NOP",65,43.1,36.5,85.2,-161,10.1,2.7,2.7,1.3,1.1,0.3
