"PName","POS","Team","GP","FG%","3P%","FT%","+/-","PPG","RPG","APG","TPG","SPG","BPG"
"DeAndre Jordan","C","DEN",39,76.5,100,45.8,-119,5.1,5.2,0.9,1.2,0.3,0.6
"Dewayne Dedmon","C","PHI",38,51,30.8,67.3,-124,5.2,3.5,0.7,0.7,0.2,0.5
"Justise Winslow","PF","POR",29,40.9,31.1,71.4,-38,6.8,5,3.4,1.5,1,0.4
"Anthony Gill","PF","WAS",59,53.8,13.8,73.1,-12,3.3,1.7,0.6,0.3,0.1,0.2
"Caleb Houstan","G","ORL",51,36.3,33.8,83.3,-84,3.8,1.9,0.6,0.4,0.2,0.1
"Ousmane Dieng","F","OKC",39,42,26.5,65.2,39,4.9,2.7,1.2,0.7,0.4,0.2
"James Bouknight","SG","CHA",34,35.8,30.3,66.7,-97,5.6,2.1,1.2,0.9,0.4,0.1
"Keon Johnson","SG","POR",40,37.6,34.6,65.9,-153,4.7,1.1,1.5,1.1,0.5,0.1
"JaVale McGee","C","DAL",42,64,40,58.5,-57,4.4,2.5,0.3,0.9,0.1,0.6
"Blake Wesley","G","SAS",37,32.1,38.5,59.1,-198,5,2.2,2.6,1.8,0.7,0.1
"Rodney McGruder","G","DET",32,40.8,42.3,81.8,-44,5.7,2.3,0.9,0.3,0.5,0
"Christian Koloko","C","TOR",58,48,8.3,62.7,156,3.1,2.9,0.5,0.3,0.4,1
"Luka Garza","C","MIN",28,54.3,35.9,78.8,18,6.5,2.2,0.6,0.5,0.1,0.1
"Wesley Matthews","SG","MIL",52,36.3,31.5,85.7,53,3.4,2.2,0.7,0.3,0.4,0.2
"Jericho Sims","C","NYK",52,77.6,0,75,-113,3.4,4.7,0.5,0.5,0.3,0.5
"Stanley Johnson","SF","SAS",30,53.3,45,66.7,-92,5.8,3.2,2.2,1.1,0.5,0.2
"Amir Coffey","SG","LAC",50,38.6,27.5,77.8,-114,3.4,1.1,1.1,0.4,0.1,0.1
"Isaiah Roby","F","NYK",42,43.2,30,48.8,-110,4.1,2.6,0.9,0.7,0.4,0.2
"Ricky Rubio","PG","CLE",33,34.3,25.6,80,45,5.2,2.1,3.5,0.9,0.8,0.2
"Blake Griffin","PF","BOS",41,48.5,34.8,65.6,105,4.1,3.8,1.5,0.5,0.3,0.2
"Taj Gibson","F","WAS",49,52,33.3,71.4,-4,3.4,1.9,0.7,0.5,0.3,0.2
"Goga Bitadze","C","ORL",38,55.2,23.1,54.8,26,4.4,3.6,1,0.6,0.4,0.7
"Evan Fournier","SG","NYK",27,33.7,30.7,85.7,-54,6.1,1.8,1.3,0.8,0.6,0.1
"Javonte Green","SF","CHI",32,56.5,37.1,66.7,48,5.2,2.8,0.7,0.6,0.8,0.7
"Julian Champagnie","F","SAS",17,45.4,40.2,82.4,-74,9.7,3.5,0.6,0.6,0.4,0.3
"Johnny Davis","G","WAS",28,38.6,24.3,51.9,-54,5.8,2.3,1,0.6,0.4,0.3
"Jordan McLaughlin","PG","MIN",43,42.1,30.8,83.3,84,3.7,1.4,3.4,0.8,0.7,0.1
"Kai Jones","PF","CHA",46,55.8,21.1,73.1,-32,3.4,2.7,0.3,0.7,0.4,0.7
"Raul Neto","PG","CLE",48,51.8,28.6,91.2,11,3.3,1,1.6,0.5,0.4,0.1
"Admiral Schofield","SF","ORL",37,45.1,32.4,91.3,-79,4.2,1.7,0.8,0.4,0.2,0.1
"Juan Toscano-Anderson","SF","UTA",52,44.8,18.6,79.2,-147,3,2.4,1.2,0.7,0.3,0.2
"Moses Brown","C","BKN",36,63.5,0,45.8,27,4.3,3.9,0.1,0.4,0.1,0.4
"AJ Green","G","MIL",35,42.4,41.9,100,-26,4.4,1.3,0.6,0.3,0.2,0
"Bruno Fernando","PF","ATL",39,52.7,0,70,-75,3.9,3.5,0.8,0.6,0.2,0.9
"Derrick Rose","PG","NYK",27,38.4,30.2,91.7,-29,5.6,1.5,1.7,0.8,0.3,0.2
"Saben Lee","G","PHX",25,40.5,36.7,73.7,-30,6,1.8,2.7,1,0.8,0
"TyTy Washington Jr.","G","HOU",31,36.3,23.8,55.6,-47,4.7,1.5,1.5,0.5,0.5,0.1
"Brandon Boston Jr.","SG","LAC",22,41.8,41.4,76.3,-44,6.5,1.4,0.9,0.5,0.4,0
"Dalano Banton","PG","TOR",31,42.3,29.4,70.8,-34,4.6,1.5,1.2,0.6,0.4,0.4
"Damian Jones","C","UTA",41,64,58.8,75.9,-83,3.5,3,0.4,0.6,0.2,0.5
"Kevon Harris","G","ORL",34,43.9,37.2,75.6,0,4.1,2.1,0.5,0.6,0.5,0.1
"Furkan Korkmaz","SG","PHI",37,43.2,39.1,72.2,2,3.8,1.1,0.6,0.6,0.3,0.1
"Nathan Knight","F","MIN",38,56.8,36.4,68.4,-9,3.7,1.5,0.3,0.6,0.3,0.2
"Frank Ntilikina","PG","DAL",47,36.4,25.4,66.7,35,2.9,1.3,1.2,0.6,0.3,0.1
"Markieff Morris","PF","DAL",35,40.9,39.4,100,10,3.8,2,0.9,0.5,0.3,0.1
"Richaun Holmes","F","SAC",42,61.8,62.5,78.9,-69,3.1,1.9,0.2,0.3,0.1,0.3
"Chuma Okeke","PF","ORL",27,35.2,30.2,76.2,-118,4.7,3.6,1.4,0.6,0.7,0.4
"Max Christie","G","LAL",41,41.5,41.9,87.5,-77,3.1,1.8,0.5,0.3,0.2,0.2
"Udoka Azubuike","C","UTA",36,81.9,0,35,-83,3.5,3.3,0.3,0.5,0.2,0.4
"Jae Crowder","PF","MIL",18,47.9,43.6,83.3,0,6.9,3.8,1.5,0.4,0.7,0.3
"Juancho Hernangomez","PF","TOR",42,42.1,25.4,56.3,13,2.9,2.9,0.6,0.4,0.4,0.1
"Matt Ryan","F","MIN",34,37,38.1,83.3,21,3.6,0.8,0.5,0.2,0.1,0
"Patrick Baldwin Jr.","F","GSW",31,39.4,38.1,66.7,-51,3.9,1.3,0.4,0.4,0.2,0.1
"Gorgui Dieng","C","SAS",31,38.5,28,76.9,-152,3.9,3.5,1.7,1,0.1,0.5
"Kenneth Lofton Jr.","F","MEM",24,52.7,35.3,59.3,-48,5,2.1,0.8,0.5,0.2,0.1
"Orlando Robinson","C","MIA",31,52.8,0,71,27,3.7,4.1,0.8,0.5,0.4,0.4
"Kira Lewis Jr.","PG","NOP",25,45.5,44.1,86.4,62,4.6,1.3,0.9,0.4,0.4,0.1
"McKinley Wright IV","PG","DAL",27,46.9,32.1,68.4,-110,4.2,1.7,2.1,0.7,0.3,0.2
"Robin Lopez","C","CLE",37,64,50,77.8,-58,3,1.4,0.5,0.7,0.1,0.2
"Dominick Barlow","F","SAS",28,53.5,0,72,-108,3.9,3.6,0.9,0.5,0.4,0.7
"Ish Smith","PG","DEN",43,39.7,16.7,50,-36,2.5,1.3,2.3,1,0.2,0.2
"Jake LaRavia","F","MEM",35,38.9,33.8,77.8,-78,3,1.8,0.6,0.5,0.3,0.1
"Boban Marjanovic","C","HOU",31,68.3,0,74.1,66,3.3,1.9,0.3,0.5,0.2,0.1
"Gary Payton II","SG","GSW",22,59.4,50,85.7,39,4.6,3.1,1.4,0.7,1,0.2
"Kessler Edwards","SF","SAC",36,38.7,30.9,73.3,5,2.8,1.7,0.6,0.4,0.4,0.2
"Cody Zeller","C","MIA",15,62.7,0,68.6,-48,6.5,4.3,0.7,0.9,0.2,0.3
"Jamal Cain","F","MIA",18,56.1,35,77.3,22,5.4,2.9,0.7,0.3,0.6,0.1
"Theo Pinson","G","DAL",40,35.6,35.5,84.6,-50,2.4,1.6,1.1,0.3,0.1,0
"Skylar Mays","SG","POR",6,50,46.2,92.3,-74,15.3,3.2,8.3,1.7,1,0.2
"Bryn Forbes","SG","MIN",25,36.1,30.4,100,-48,3.6,0.6,0.7,0.5,0.3,0.1
"Davon Reed","SG","LAL",43,33.3,37,66.7,-99,2.1,1.4,0.5,0.5,0.3,0.1
"Frank Kaminsky","PF","HOU",36,49.2,39.4,87.5,-4,2.5,1.4,0.9,0.2,0.2,0.1
"Terry Taylor","F","CHI",31,52,26.3,54.5,18,2.9,1.5,0.3,0.3,0.1,0.2
"Johnny Juzang","G","UTA",18,33.7,23.8,50,-87,4.8,2.2,0.4,0.2,0.2,0.2
"Dalen Terry","F","CHI",38,44.4,25.9,66.7,12,2.2,1,0.6,0.2,0.3,0.1
"David Duke Jr.","G","BKN",23,46.2,8.3,70.6,-35,3.7,1.3,0.9,0.8,0.4,0
"Nikola Jovic","F","MIA",15,40.6,22.9,94.7,-16,5.5,2.1,0.7,0.7,0.5,0.1
"Kennedy Chandler","G","MEM",36,42.2,13.3,46.2,-41,2.2,1.1,1.6,0.5,0.3,0.1
"Peyton Watson","F","DEN",23,49.2,42.9,55,-47,3.3,1.6,0.5,0.3,0.1,0.5
"Kemba Walker","PG","DAL",9,42.1,25,81,-1,8,1.8,2.1,0.4,0.2,0.2
"Luka Samanic","F","UTA",7,45.6,25.8,69.2,-6,9.9,4.3,2.1,1.4,0.9,0.3
"Serge Ibaka","F","MIL",16,48.1,33.3,61.5,-25,4.1,2.8,0.2,0.7,0.1,0.4
"Danny Green","F","CLE",11,44.9,43.2,100,-17,5.5,1.3,0.5,0.9,0.5,0.3
"Jeff Dowtin Jr.","PG","TOR",25,43.9,31.3,66.7,-9,2.4,0.9,1.2,0.2,0.4,0.1
"Moussa Diabate","F","LAC",22,51.1,50,62.5,-22,2.7,2.3,0.2,0.4,0.3,0.4
"Mamadi Diakite","F","CLE",22,48,33.3,100,-9,2.6,1.4,0.4,0.5,0.2,0.4
"A.J. Lawson","G","DAL",15,50,40,25,-46,3.7,1.4,0.1,0.2,0.1,0
"Quenton Jackson","G","WAS",9,45.2,8.3,77.3,-17,6.2,0.9,1.7,0.4,0.4,0.1
"Jonathan Isaac","PF","ORL",11,41.5,40,55.6,-19,5,4,0.5,0.4,1.3,0.4
"Jeenathan Williams","G","POR",5,61.5,37.5,66.7,-38,10.6,3,2,0.8,0.6,0.4
"Trent Forrest","G","ATL",23,41.7,0,66.7,-58,2.3,1.6,1.7,0.7,0.3,0.1
"James Johnson","PF","IND",18,44.9,20,50,-7,2.8,1.7,0.8,0.4,0.4,0.3
"Jay Huff","C","WAS",7,60,50,93.8,-7,7.3,3,1.4,0.7,0.4,0.6
"Thanasis Antetokounmpo","SF","MIL",37,43.5,0,50,-114,1.4,1.2,0.4,0.3,0.1,0.1
"Garrett Temple","SF","NOP",25,40,42.3,75,-17,2,0.7,0.5,0.2,0.4,0.1
"Lindell Wigginton","G","MIL",7,48.6,33.3,88.9,-39,7.1,1,2,1.7,0,0.3
"Daniel Theis","C","IND",7,47.7,18.2,41.7,-19,7,3.1,1.3,0.4,0.3,0.9
"Matthew Dellavedova","PG","SAC",32,34,33.3,57.1,-51,1.5,0.4,1.3,0.3,0.2,0
"Josh Minott","F","MIN",15,50,33.3,100,24,3.1,1.7,0.3,0.2,0.3,0.4
"KZ Okpala","SF","SAC",35,42.1,33.3,87.5,-11,1.3,1,0.4,0.2,0.2,0.2
"Jared Rhoden","G","DET",14,38.6,25,100,21,3.2,2.6,0.3,0.2,0.3,0.1
"John Butler Jr.","F","POR",19,32.1,22.9,75,-70,2.4,0.9,0.6,0.1,0.4,0.5
"Dru Smith","G","BKN",15,40,26.3,100,-28,2.9,1.6,1.5,0.2,0.7,0.3
"Jarrett Culver","G","ATL",10,39.5,8.3,69.2,-19,4.4,3.8,0.6,0.7,0.6,0.2
"Otto Porter Jr.","SF","TOR",8,50,35.3,100,-21,5.5,2.4,1,0.5,1.4,0
"Shaquille Harrison","G","LAL",5,41.7,30,73.3,-1,8.8,4.4,6,1.2,2.2,0.4
"Alex Len","C","SAC",26,53.3,0,68.8,19,1.7,2.3,0.5,0.6,0.2,0.4
"Khem Birch","C","SAS",20,59.4,50,80,6,2.1,1.2,0.3,0.4,0.2,0.2
"Meyers Leonard","C","MIL",9,48.3,38.9,88.9,-27,4.8,3.8,0.1,0.7,0.2,0
"Jaden Springer","G","PHI",16,48.6,40,75,-3,2.6,0.9,0.5,0.2,0.4,0.2
"Wendell Moore Jr.","G","MIN",29,41.9,11.8,80,-53,1.4,0.6,0.6,0.3,0.3,0.2
"Jason Preston","PG","LAC",14,43.9,27.8,0,-11,2.9,1.6,1.9,0.7,0.1,0
"Omer Yurtseven","C","MIA",9,59.3,42.9,83.3,10,4.4,2.6,0.2,0.4,0.2,0.2
"Xavier Cooks","G","WAS",10,60.7,0,40,19,3.8,3.8,0.6,0.8,0.6,0.4
"Jared Butler","SG","OKC",6,46.9,50,0,-1,6.2,0.7,1.3,0.8,0.8,0
"Olivier Sarr","C","OKC",9,50,12.5,71.4,14,4,3.4,0.4,0.4,0.1,0.6
"Vit Krejci","G","ATL",29,40.5,23.8,50,-3,1.2,0.9,0.6,0.2,0.2,0
"Cody Martin","SF","CHA",7,38.9,21.4,57.1,-26,5,3.4,1.6,0.3,0.6,0.1
"Nerlens Noel","C","BKN",17,36.1,50,66.7,-75,2.1,2.7,0.6,0.8,0.9,0.6
"Isaiah Mobley","F","CLE",12,42.9,37.5,100,31,2.6,1.7,0.2,0.1,0.3,0.2
"Vince Williams Jr.","G","MEM",15,30,14.3,100,-34,2,1,0.3,0.3,0.4,0.1
"Greg Brown III","PF","POR",16,39.3,14.3,41.7,-5,1.8,1.2,0.2,0.4,0.2,0.3
"Jordan Hall","G","SAS",9,32.1,20,77.8,-24,3.1,1.3,1.2,0.8,0.1,0
"Joshua Primo","SG","SAS",4,34.6,25,77.8,-2,7,3.2,4.5,2.8,0.2,0.5
"Udonis Haslem","PF","MIA",7,34.5,33.3,80,-25,3.9,1.6,0,0.1,0.1,0.3
"Ryan Arcidiacono","G","POR",20,24.3,34.8,0,-40,1.3,0.8,1.1,0.3,0.2,0
"Mac McClung","SG","PHI",2,45,36.4,60,18,12.5,5,4.5,1.5,0,0
"Noah Vonleh","PF","BOS",23,45.8,25,100,-13,1.1,2.1,0.3,0.5,0.1,0.3
"Sam Merrill","SG","CLE",5,40.9,27.8,100,-5,5,1.8,1,0,0.8,0
"Gabe York","G","IND",3,38.1,33.3,100,24,8,2,1.7,0,0.7,0
"Keon Ellis","G","SAC",16,43.8,50,57.1,-21,1.5,0.5,0.4,0.1,0.3,0.1
"Micah Potter","C","UTA",7,66.7,57.1,0,-3,3.4,2.3,0.6,0.3,0.1,0
"Ryan Rollins","G","GSW",12,35,33.3,100,-47,1.9,1,0.5,1.3,0.1,0.1
"Jarrell Brantley","PF","UTA",4,57.1,44.4,100,15,5.5,1.5,0.8,0.5,0,0.5
"PJ Dozier","G","SAC",16,30.3,12.5,0,-23,1.4,0.9,0.6,0.3,0.4,0.1
"Jack White","F","DEN",17,42.1,33.3,66.7,-17,1.2,1,0.2,0.1,0.2,0.1
"Trevelin Queen","SG","IND",7,24.1,13.3,100,14,3,2.4,0.9,1,0.3,0.7
"Tyrese Martin","G","ATL",16,39.1,14.3,100,1,1.3,0.8,0.1,0.1,0.1,0
"Carlik Jones","G","CHI",7,40,50,62.5,26,2.9,0.7,0.9,0.3,0.3,0
"Justin Jackson","SF","BOS",23,25.9,25,50,-71,0.9,0.7,0.4,0.1,0.2,0.2
"Louis King","SF","PHI",1,61.5,50,0,2,20,4,2,2,1,0
"Ron Harper Jr.","F","TOR",9,50,33.3,100,19,2.2,0.8,0.4,0,0,0.1
"JD Davison","SG","BOS",12,42.1,28.6,50,-6,1.6,0.8,0.9,0.3,0.2,0.2
"Tony Bradley","C","CHI",12,50,60,100,11,1.6,0.9,0.1,0.1,0.1,0.1
"Andre Iguodala","F","GSW",8,46.7,11.1,66.7,35,2.1,2.1,2.4,1.1,0.5,0.4
"Justin Minaya","F","POR",4,30.4,25,0,-20,4.2,3.8,1,1,0.5,1.2
"Michael Carter-Williams","G","ORL",4,42.9,33.3,57.1,-26,4.2,1.2,1.8,1,0.2,0.2
"Xavier Sneed","F","CHA",4,50,50,100,-28,4.2,1.2,1.2,0.8,0,0.2
"Buddy Boeheim","F","DET",10,18.5,16,100,3,1.6,0.6,0.4,0,0.2,0
"RaiQuan Gray","F","BKN",1,50,40,100,-14,16,9,7,4,0,1
"Darius Days","F","HOU",4,41.7,30,100,1,3.8,1.5,0.2,0,0,0.2
"Jamaree Bouyea","G","WAS",5,42.9,33.3,50,-17,3,1.2,0.8,0.8,0.8,0.4
"Scotty Pippen Jr.","G","LAL",6,33.3,33.3,55.6,-1,2.3,0.7,0.3,0.3,0.3,0.2
"Jay Scrubb","G","ORL",2,71.4,100,50,-16,6.5,3,0.5,1.5,1,0
"Neemias Queta","C","SAC",5,66.7,0,0,-30,2.4,2.2,0.2,0.2,0,0.4
"Justin Champagnie","SF","BOS",5,33.3,20,0,-4,2.2,1.6,0.8,0,0.2,0
"Facundo Campazzo","G","DAL",8,23.1,27.3,50,11,1.2,0.2,1.1,0.4,0.8,0
"Lester Quinones","G","GSW",4,40,50,66.7,6,2.5,0.8,0.5,1.2,0.2,0
"Cole Swider","F","LAL",7,33.3,37.5,0,3,1.3,1,0.6,0,0,0
"Isaiah Todd","PF","WAS",6,15.8,10,100,-7,1.5,2,0.7,0.3,0.2,0
"Joe Wieskamp","SF","TOR",9,21.4,25,0,2,1,0.4,0.3,0.1,0,0
"Kendall Brown","SG","IND",6,57.1,0,50,4,1.5,1,0.5,0.3,0.7,0
"Trevor Hudgins","G","HOU",5,22.2,25,100,3,1.8,0,0.6,0.2,0,0
"Tyler Dorsey","G","DAL",3,80,50,0,2,3,0.7,0,0,0,0
"Alize Johnson","F","SAS",4,50,0,50,12,1.8,2.5,0.2,1,0.2,0
"Chance Comanche","C","POR",1,60,0,25,-29,7,3,0,0,0,1
"Xavier Moon","PG","LAC",4,33.3,33.3,0,3,1.8,0.8,1.2,0.2,0,0
"Leandro Bolmaro","F","UTA",14,15,0,0,2,0.4,0.5,0.5,0.5,0.2,0.1
"Marko Simonovic","C","CHI",7,28.6,25,50,15,0.9,0.3,0,0,0,0
"Mfiondu Kabengele","C","BOS",4,28.6,0,100,-5,1.5,2.5,0,0.2,0.5,0
"Vernon Carey Jr.","C","UTA",11,25,0,100,-10,0.5,1,0.3,0.2,0.2,0.2
"Dylan Windler","SG","CLE",3,66.7,50,0,-1,1.7,0,0.3,0.3,0.3,0
"Kobi Simmons","G","CHA",5,16.7,20,100,-19,1,0.8,1,0.2,0,0.4
"Malcolm Hill","F","CHI",5,50,33.3,0,9,1,0.6,0,0,0,0
"Braxton Key","G","DET",3,100,0,100,-3,1.3,0.3,0,0,0,0
"Dereon Seabron","G","NOP",5,40,0,0,10,0.8,0.2,0,0,0,0
"Donovan Williams","G","ATL",2,40,0,0,6,2,1,0,0,0,0
"Devon Dotson","G","WAS",6,10,25,0,-3,0.5,1.7,1.3,0.5,0.8,0
"Jacob Gilyard","G","MEM",1,33.3,33.3,0,-13,3,4,7,2,3,0
"Jordan Schakel","F","WAS",2,50,100,0,6,1.5,0,0.5,0,0.5,0
"Trevor Keels","G","NYK",3,25,25,0,-18,1,0.7,0,0,0,0
"Chima Moneke","F","SAC",2,50,0,0,-9,1,1,0.5,1,0,0
"Chris Silva","F","DAL",1,100,0,0,1,2,0,0,1,0,0
"Stanley Umude","G","DET",1,0,0,100,3,2,0,0,0,1,1
"Alondes Williams","N/A","BKN",1,0,0,0,-5,0,1,0,2,0,0
"Deonte Burton","N/A","SAC",2,0,0,0,5,0,0,0,0,0,0
"Frank Jackson","N/A","UTA",1,0,0,0,-2,0,2,1,0,0,0
"Michael Foster Jr.","N/A","PHI",1,0,0,0,-2,0,0,0,0,0,0
"Sterling Brown","N/A","LAL",4,0,0,0,-4,0,2,0.5,0,0.8,0
