"PLAYER_NAME","PLAYER_HEIGHT_INCHES","PLAYER_WEIGHT","COLLEGE","COUNTRY","DRAFT_YEAR","DRAFT_ROUND","DRAFT_NUMBER","POS","Team","GP","FG%","3P%","FT%","+/-","PPG","RPG","APG","TPG","SPG","BPG"
"A.J. Lawson",78,179,"South Carolina","Canada","Undrafted","Undrafted","Undrafted","G","DAL",15,50,40,25,-46,3.7,1.4,0.1,0.2,0.1,0
"Aaron Gordon",80,235,"Arizona","USA","2014","1","4","PF","DEN",68,56.4,34.7,60.8,518,16.3,6.6,3,1.4,0.8,0.8
"Aaron Holiday",72,185,"UCLA","USA","2018","1","23","G","ATL",63,41.8,40.9,84.4,17,3.9,1.2,1.4,0.6,0.6,0.2
"Aaron Nesmith",77,215,"Vanderbilt","USA","2020","1","14","SF","IND",73,42.7,36.6,83.8,-211,10.1,3.8,1.3,1,0.8,0.5
"Aaron Wiggins",77,190,"Maryland","USA","2021","2","55","SG","OKC",70,51.2,39.3,83.1,9,6.8,3,1.1,0.8,0.6,0.2
"Admiral Schofield",77,241,"Tennessee","United Kingdom","2019","2","42","SF","ORL",37,45.1,32.4,91.3,-79,4.2,1.7,0.8,0.4,0.2,0.1
"AJ Green",77,190,"Northern Iowa","USA","Undrafted","Undrafted","Undrafted","G","MIL",35,42.4,41.9,100,-26,4.4,1.3,0.6,0.3,0.2,0
"AJ Griffin",78,220,"Duke","USA","2022","1","16","F","ATL",72,46.5,39,89.4,63,8.9,2.1,1,0.6,0.6,0.2
"Al Horford",81,240,"Florida","Dominican Republic","2007","1","3","C","BOS",63,47.6,44.6,71.4,309,9.8,6.2,3,0.6,0.5,1
"Alec Burks",78,214,"Colorado","USA","2011","1","12","SG","DET",51,43.6,41.4,81.4,-7,12.8,3.1,2.2,1.1,0.7,0.2
"Aleksej Pokusevski",84,210,"None","Serbia","2020","1","17","F","OKC",34,43.4,36.5,62.9,-196,8.1,4.7,1.9,1.3,0.6,1.3
"Alex Caruso",77,186,"Texas A&M","USA","Undrafted","Undrafted","Undrafted","SG","CHI",67,45.5,36.4,80.8,199,5.6,2.9,2.9,1.1,1.5,0.7
"Alex Len",86,250,"Maryland","Ukraine","2013","1","5","C","SAC",26,53.3,0,68.8,19,1.7,2.3,0.5,0.6,0.2,0.4
"Alize Johnson",80,212,"Missouri State","USA","2018","2","50","F","SAS",4,50,0,50,12,1.8,2.5,0.2,1,0.2,0
"Alondes Williams",76,210,"Wake Forest","USA","Undrafted","Undrafted","Undrafted","N/A","BKN",1,0,0,0,-5,0,1,0,2,0,0
"Alperen Sengun",83,243,"None","Turkey","2021","1","16","C","HOU",75,55.3,33.3,71.5,-283,14.8,9,3.9,2.6,0.9,0.9
"Amir Coffey",79,210,"Minnesota","USA","Undrafted","Undrafted","Undrafted","SG","LAC",50,38.6,27.5,77.8,-114,3.4,1.1,1.1,0.4,0.1,0.1
"Andre Drummond",83,279,"Connecticut","USA","2012","1","9","C","CHI",67,60.6,0,53.6,25,6,6.6,0.5,1.1,0.7,0.4
"Andre Iguodala",78,215,"Arizona","USA","2004","1","9","F","GSW",8,46.7,11.1,66.7,35,2.1,2.1,2.4,1.1,0.5,0.4
"Andrew Nembhard",75,191,"Gonzaga","Canada","2022","2","31","PG","IND",75,44.1,35,79,-263,9.5,2.7,4.5,1.7,0.9,0.2
"Andrew Wiggins",79,197,"Kansas","Canada","2014","1","1","SF","GSW",37,47.3,39.6,61.1,118,17.1,5,2.3,1.3,1.2,0.8
"Anfernee Simons",75,181,"None","USA","2018","1","24","SG","POR",62,44.7,37.7,89.4,-75,21.1,2.6,4.1,2.1,0.7,0.2
"Anthony Davis",82,253,"Kentucky","USA","2012","1","1","PF","LAL",56,56.3,25.7,78.4,205,25.9,12.5,2.6,2.2,1.1,2
"Anthony Edwards",76,225,"Georgia","USA","2020","1","1","SG","MIN",79,45.9,36.9,75.6,97,24.6,5.8,4.4,3.3,1.6,0.7
"Anthony Gill",80,230,"Virginia","USA","Undrafted","Undrafted","Undrafted","PF","WAS",59,53.8,13.8,73.1,-12,3.3,1.7,0.6,0.3,0.1,0.2
"Anthony Lamb",78,227,"Vermont","USA","Undrafted","Undrafted","Undrafted","F","GSW",62,47.1,36.7,76.7,32,6.7,3.5,1.5,0.9,0.5,0.3
"Austin Reaves",77,197,"Oklahoma","USA","Undrafted","Undrafted","Undrafted","SG","LAL",64,52.9,39.8,86.4,214,13,3,3.4,1.5,0.5,0.3
"Austin Rivers",76,200,"Duke","USA","2012","1","10","SG","MIN",52,43.5,35,76.9,-142,4.9,1.6,1.4,0.4,0.5,0.1
"Ayo Dosunmu",77,200,"Illinois","USA","2021","2","38","SG","CHI",80,49.3,31.2,80.5,-77,8.6,2.8,2.6,1.2,0.8,0.3
"Bam Adebayo",81,255,"Kentucky","USA","2017","1","14","C","MIA",75,54,8.3,80.6,117,20.4,9.2,3.2,2.5,1.2,0.8
"Ben Simmons",82,240,"Louisiana State","Australia","2016","1","1","PG","BKN",42,56.6,0,43.9,40,6.9,6.3,6.1,2.3,1.3,0.6
"Bennedict Mathurin",77,210,"Arizona","Canada","2022","1","6","SG","IND",78,43.4,32.3,82.8,-179,16.7,4.1,1.5,1.9,0.6,0.2
"Bismack Biyombo",80,255,"None","DRC","2011","1","7","C","PHX",61,57.8,0,35.7,48,4.3,4.3,0.9,0.8,0.3,1.4
"Blake Griffin",81,250,"Oklahoma","USA","2009","1","1","PF","BOS",41,48.5,34.8,65.6,105,4.1,3.8,1.5,0.5,0.3,0.2
"Blake Wesley",76,185,"Notre Dame","USA","2022","1","25","G","SAS",37,32.1,38.5,59.1,-198,5,2.2,2.6,1.8,0.7,0.1
"Bobby Portis",83,250,"Arkansas","USA","2015","1","22","F","MIL",70,49.6,37,76.8,17,14.1,9.6,1.5,1.2,0.4,0.2
"Bol Bol",86,220,"Oregon","Sudan","2019","2","44","C","ORL",70,54.6,26.5,75.9,-146,9.1,5.8,1,1.6,0.4,1.2
"Bones Hyland",74,169,"Virginia Commonwealth","USA","2021","1","26","PG","LAC",56,39.9,37.1,84.3,-129,11.8,2.4,3.1,1.5,0.7,0.3
"Bradley Beal",76,207,"Florida","USA","2012","1","3","SG","WAS",50,50.6,36.5,84.2,42,23.2,3.9,5.4,2.9,0.9,0.7
"Brandon Clarke",80,215,"Gonzaga","Canada","2019","1","21","PF","MEM",56,65.6,16.7,71.9,-14,10,5.5,1.3,1,0.6,0.7
"Brandon Ingram",80,190,"Duke","USA","2016","1","2","SF","NOP",45,48.4,39,88.2,96,24.7,5.5,5.8,3.3,0.7,0.4
"Braxton Key",80,225,"Virginia","USA","Undrafted","Undrafted","Undrafted","G","DET",3,100,0,100,-3,1.3,0.3,0,0,0,0
"Brook Lopez",85,282,"Stanford","USA","2008","1","10","C","MIL",78,53.1,37.4,78.4,398,15.9,6.7,1.3,1.4,0.5,2.5
"Bruce Brown",76,202,"Miami","USA","2018","2","42","SF","DEN",80,48.3,35.8,75.8,31,11.5,4.1,3.4,1.5,1.1,0.6
"Bruno Fernando",82,240,"Maryland","Angola","2019","2","34","PF","ATL",39,52.7,0,70,-75,3.9,3.5,0.8,0.6,0.2,0.9
"Bryce McGowens",78,175,"Nebraska","USA","2022","2","40","G","CHA",46,39.6,32.5,75,-150,5.3,2,1.2,0.9,0.3,0.1
"Bryn Forbes",74,205,"Michigan State","USA","Undrafted","Undrafted","Undrafted","SG","MIN",25,36.1,30.4,100,-48,3.6,0.6,0.7,0.5,0.3,0.1
"Buddy Boeheim",78,205,"Syracuse","USA","Undrafted","Undrafted","Undrafted","F","DET",10,18.5,16,100,3,1.6,0.6,0.4,0,0.2,0
"Buddy Hield",76,220,"Oklahoma","Bahamas","2016","1","6","SG","IND",80,45.8,42.5,82.2,-84,16.8,5,2.8,1.7,1.1,0.3
"Cade Cunningham",79,220,"Oklahoma State","USA","2021","1","1","PG","DET",12,41.5,27.9,83.7,-60,19.9,6.2,6,3.2,0.8,0.6
"Caleb Houstan",80,205,"Michigan","Canada","2022","2","32","G","ORL",51,36.3,33.8,83.3,-84,3.8,1.9,0.6,0.4,0.2,0.1
"Caleb Martin",77,205,"Nevada","USA","Undrafted","Undrafted","Undrafted","SF","MIA",71,46.4,35.6,80.5,-9,9.6,4.8,1.6,1.1,1,0.4
"Cam Reddish",79,217,"Duke","USA","2019","1","10","SF","POR",40,44.6,31.3,85.3,-193,9.7,2.2,1.4,1.2,1,0.3
"Cam Thomas",75,210,"Louisiana State","Japan","2021","1","27","SG","BKN",57,44.1,38.3,86.8,-4,10.6,1.7,1.4,1.1,0.4,0.1
"Cameron Johnson",80,210,"North Carolina","USA","2019","1","11","SF","BKN",42,47,40.4,84.2,155,15.5,4.4,1.9,0.9,1.2,0.3
"Cameron Payne",73,183,"Murray State","USA","2015","1","14","PG","PHX",48,41.5,36.8,76.6,77,10.3,2.2,4.5,1.7,0.7,0.2
"Caris LeVert",78,205,"Michigan","USA","2016","1","20","SG","CLE",74,43.1,39.2,72.2,194,12.1,3.8,3.9,1.6,1,0.3
"Carlik Jones",72,174,"Louisville","USA","Undrafted","Undrafted","Undrafted","G","CHI",7,40,50,62.5,26,2.9,0.7,0.9,0.3,0.3,0
"Cedi Osman",79,230,"None","Turkey","2015","2","31","SF","CLE",77,45.1,37.2,69.4,228,8.7,2.3,1.5,0.7,0.5,0.1
"Chance Comanche",82,210,"Arizona","USA","Undrafted","Undrafted","Undrafted","C","POR",1,60,0,25,-29,7,3,0,0,0,1
"Charles Bassey",81,230,"Western Kentucky","Nigeria","2021","2","53","C","SAS",35,64.4,37.5,59.5,-32,5.7,5.5,1.4,1.2,0.5,0.9
"Chima Moneke",77,223,"Cal-Davis","Nigeria","Undrafted","Undrafted","Undrafted","F","SAC",2,50,0,0,-9,1,1,0.5,1,0,0
"Chimezie Metu",81,225,"USC","USA","2018","2","49","PF","SAC",66,58.9,23.7,74,88,4.9,3,0.6,0.5,0.3,0.3
"Chris Boucher",81,200,"Oregon","Saint Lucia","Undrafted","Undrafted","Undrafted","PF","TOR",76,49.3,32.8,76.2,-18,9.4,5.5,0.4,0.5,0.6,0.8
"Chris Duarte",77,190,"Oregon","Dominican Republic","2021","1","13","SG","IND",46,36.9,31.6,84.7,-114,7.9,2.5,1.4,0.9,0.5,0.2
"Chris Paul",72,175,"Wake Forest","USA","2005","1","4","PG","PHX",59,44,37.5,83.1,84,13.9,4.3,8.9,1.9,1.5,0.4
"Chris Silva",80,234,"South Carolina","Gabon","Undrafted","Undrafted","Undrafted","F","DAL",1,100,0,0,1,2,0,0,1,0,0
"Christian Braun",78,220,"Kansas","USA","2022","1","21","G","DEN",76,49.5,35.4,62.5,-114,4.7,2.4,0.8,0.5,0.5,0.2
"Christian Koloko",84,230,"Arizona","Cameroon","2022","2","33","C","TOR",58,48,8.3,62.7,156,3.1,2.9,0.5,0.3,0.4,1
"Christian Wood",81,214,"UNLV","USA","Undrafted","Undrafted","Undrafted","F","DAL",67,51.5,37.6,77.2,-46,16.6,7.3,1.8,1.8,0.4,1.1
"Chuma Okeke",80,229,"Auburn","USA","2019","1","16","PF","ORL",27,35.2,30.2,76.2,-118,4.7,3.6,1.4,0.6,0.7,0.4
"CJ McCollum",75,190,"Lehigh","USA","2013","1","10","SG","NOP",75,43.7,38.9,76.9,59,20.9,4.4,5.7,2.4,0.9,0.5
"Clint Capela",82,256,"None","Switzerland","2014","1","25","C","ATL",65,65.3,0,60.3,-30,12,11,0.9,0.8,0.7,1.2
"Coby White",77,195,"North Carolina","USA","2019","1","7","PG","CHI",74,44.3,37.2,87.1,143,9.7,2.9,2.8,1,0.7,0.1
"Cody Martin",78,205,"Nevada","USA","2019","2","36","SF","CHA",7,38.9,21.4,57.1,-26,5,3.4,1.6,0.3,0.6,0.1
"Cody Zeller",83,240,"Indiana","USA","2013","1","4","C","MIA",15,62.7,0,68.6,-48,6.5,4.3,0.7,0.9,0.2,0.3
"Cole Anthony",75,185,"North Carolina","USA","2020","1","15","PG","ORL",60,45.4,36.4,89.4,-26,13,4.8,3.9,1.5,0.6,0.5
"Cole Swider",81,220,"Syracuse","USA","Undrafted","Undrafted","Undrafted","F","LAL",7,33.3,37.5,0,3,1.3,1,0.6,0,0,0
"Collin Sexton",74,190,"Alabama","USA","2018","1","8","PG","UTA",48,50.6,39.3,81.9,-28,14.3,2.2,2.9,1.8,0.6,0.1
"Corey Kispert",78,224,"Gonzaga","USA","2021","1","15","SF","WAS",74,49.7,42.4,85.2,-124,11.1,2.8,1.2,0.7,0.4,0.1
"Cory Joseph",75,200,"Texas","Canada","2011","1","29","PG","DET",62,42.7,38.9,79.2,-110,6.9,1.7,3.5,0.9,0.5,0.1
"D'Angelo Russell",76,193,"Ohio State","USA","2015","1","2","PG","LAL",71,46.9,39.6,82.9,85,17.8,3,6.2,2.6,1,0.4
"Daishen Nix",76,226,"None","USA","Undrafted","Undrafted","Undrafted","SG","HOU",57,34.2,28.6,66.7,-151,4,1.7,2.3,1.5,0.5,0.1
"Dalano Banton",79,204,"Nebraska","Canada","2021","2","46","PG","TOR",31,42.3,29.4,70.8,-34,4.6,1.5,1.2,0.6,0.4,0.4
"Dalen Terry",79,195,"Arizona","USA","2022","1","18","F","CHI",38,44.4,25.9,66.7,12,2.2,1,0.6,0.2,0.3,0.1
"Damian Jones",83,245,"Vanderbilt","USA","2016","1","30","C","UTA",41,64,58.8,75.9,-83,3.5,3,0.4,0.6,0.2,0.5
"Damian Lillard",74,195,"Weber State","USA","2012","1","6","PG","POR",58,46.3,37.1,91.4,105,32.2,4.8,7.3,3.3,0.9,0.3
"Damion Lee",77,210,"Drexel","USA","Undrafted","Undrafted","Undrafted","SG","PHX",74,44.2,44.5,90.4,79,8.2,3,1.3,1.1,0.4,0.1
"Daniel Gafford",82,234,"Arkansas","USA","2019","2","38","C","WAS",78,73.2,0,67.9,-89,9,5.6,1.1,1.1,0.4,1.3
"Daniel Theis",80,245,"None","Germany","Undrafted","Undrafted","Undrafted","C","IND",7,47.7,18.2,41.7,-19,7,3.1,1.3,0.4,0.3,0.9
"Danny Green",78,215,"North Carolina","USA","2009","2","46","F","CLE",11,44.9,43.2,100,-17,5.5,1.3,0.5,0.9,0.5,0.3
"Danuel House Jr.",78,220,"Texas A&M","USA","Undrafted","Undrafted","Undrafted","SF","PHI",56,47.2,33.6,75,-16,4.8,1.7,0.8,0.5,0.2,0.2
"Darius Bazley",81,216,"None","USA","2019","1","23","PF","PHX",43,45.4,37.7,54.3,-70,5.2,3.2,0.9,0.6,0.5,0.8
"Darius Days",79,245,"Winnipeg Sea Bears","USA","Undrafted","Undrafted","Undrafted","F","HOU",4,41.7,30,100,1,3.8,1.5,0.2,0,0,0.2
"Darius Garland",73,192,"Vanderbilt","USA","2019","1","5","PG","CLE",69,46.2,41,86.3,438,21.6,2.7,7.8,2.9,1.2,0.1
"David Duke Jr.",76,204,"Providence","USA","Undrafted","Undrafted","Undrafted","G","BKN",23,46.2,8.3,70.6,-35,3.7,1.3,0.9,0.8,0.4,0
"David Roddy",76,255,"Colorado State","USA","2022","1","23","F","MEM",70,42.9,30.7,63.1,-61,6.7,2.8,0.8,0.8,0.4,0.3
"Davion Mitchell",72,202,"Baylor","USA","2021","1","9","PG","SAC",80,45.4,32,80.6,1,5.6,1.3,2.3,0.8,0.6,0.2
"Davon Reed",77,206,"Miami","USA","2017","2","32","SG","LAL",43,33.3,37,66.7,-99,2.1,1.4,0.5,0.5,0.3,0.1
"Day'Ron Sharpe",81,265,"North Carolina","USA","2021","1","29","C","BKN",48,54.4,54.5,63.6,-101,4.7,4.2,0.8,0.9,0.3,0.7
"De'Aaron Fox",75,185,"Kentucky","USA","2017","1","5","PG","SAC",73,51.2,32.4,78,176,25,4.2,6.1,2.5,1.1,0.3
"De'Andre Hunter",80,221,"Virginia","USA","2019","1","4","SF","ATL",67,46.1,35,82.6,-18,15.4,4.2,1.4,1.2,0.5,0.3
"De'Anthony Melton",74,200,"Southern California","USA","2018","2","46","SG","PHI",77,42.5,39,79.3,102,10.1,4.1,2.6,1.3,1.6,0.5
"Dean Wade",81,228,"Kansas State","USA","Undrafted","Undrafted","Undrafted","PF","CLE",44,41.2,35.4,65.2,108,4.7,3.4,0.8,0.4,0.6,0.5
"Deandre Ayton",84,250,"Arizona","Bahamas","2018","1","1","C","PHX",67,58.9,29.2,76,-7,18,10,1.7,1.8,0.6,0.8
"DeAndre Jordan",83,265,"Texas A&M","USA","2008","2","35","C","DEN",39,76.5,100,45.8,-119,5.1,5.2,0.9,1.2,0.3,0.6
"Dejounte Murray",77,180,"Washington","USA","2016","1","29","SG","ATL",74,46.4,34.4,83.2,-62,20.5,5.3,6.1,2.2,1.5,0.3
"Delon Wright",77,185,"Utah","USA","2015","1","20","SG","WAS",50,47.4,34.5,86.7,69,7.4,3.6,3.9,0.9,1.8,0.3
"DeMar DeRozan",78,220,"Southern California","USA","2009","1","9","SF","CHI",74,50.4,32.4,87.2,67,24.5,4.6,5.1,2.1,1.1,0.5
"Deni Avdija",81,210,"None","Israel","2020","1","9","SF","WAS",76,43.7,29.7,73.9,-51,9.2,6.4,2.8,1.6,0.9,0.4
"Dennis Smith Jr.",74,205,"North Carolina State","USA","2017","1","9","PG","CHA",54,41.2,21.6,73.6,-70,8.8,3.1,4.8,1.5,1.4,0.5
"Deonte Burton",76,240,"Iowa State","USA","Undrafted","Undrafted","Undrafted","N/A","SAC",2,0,0,0,5,0,0,0,0,0,0
"Dereon Seabron",77,180,"North Carolina State","USA","Undrafted","Undrafted","Undrafted","G","NOP",5,40,0,0,10,0.8,0.2,0,0,0,0
"Derrick Jones Jr.",78,210,"UNLV","USA","Undrafted","Undrafted","Undrafted","SF","CHI",64,50,33.8,73.8,122,5,2.4,0.5,0.4,0.5,0.6
"Derrick Rose",75,200,"Memphis","USA","2008","1","1","PG","NYK",27,38.4,30.2,91.7,-29,5.6,1.5,1.7,0.8,0.3,0.2
"Derrick White",76,190,"Colorado","USA","2017","1","29","PG","BOS",82,46.2,38.1,87.5,488,12.4,3.6,3.9,1.2,0.7,0.9
"Desmond Bane",77,215,"TCU","USA","2020","1","30","SG","MEM",58,47.9,40.8,88.3,356,21.5,5,4.4,2.2,1,0.4
"Devin Booker",77,206,"Kentucky","USA","2015","1","13","SG","PHX",53,49.4,35.1,85.5,247,27.8,4.5,5.5,2.7,1,0.3
"Devin Vassell",77,200,"Florida State","USA","2020","1","11","SG","SAS",38,43.9,38.7,78,-295,18.5,3.9,3.6,1.5,1.1,0.4
"Devon Dotson",73,185,"Kansas","USA","Undrafted","Undrafted","Undrafted","G","WAS",6,10,25,0,-3,0.5,1.7,1.3,0.5,0.8,0
"Devonte' Graham",73,195,"Kansas","USA","2018","2","34","PG","SAS",73,37.4,35.2,74.8,-159,7.4,1.7,2.7,0.7,0.6,0.2
"Dewayne Dedmon",82,245,"USC","USA","Undrafted","Undrafted","Undrafted","C","PHI",38,51,30.8,67.3,-124,5.2,3.5,0.7,0.7,0.2,0.5
"Dillon Brooks",78,225,"Oregon","Canada","2017","2","45","SF","MEM",73,39.6,32.6,77.9,205,14.3,3.3,2.6,1.4,0.9,0.2
"Domantas Sabonis",85,240,"Gonzaga","Lithuania","2016","1","11","PF","SAC",79,61.5,37.3,74.2,212,19.1,12.3,7.3,2.9,0.8,0.5
"Dominick Barlow",81,215,"None","USA","Undrafted","Undrafted","Undrafted","F","SAS",28,53.5,0,72,-108,3.9,3.6,0.9,0.5,0.4,0.7
"Donovan Mitchell",73,215,"Louisville","USA","2017","1","13","SG","CLE",68,48.4,38.6,86.7,338,28.3,4.2,4.4,2.6,1.5,0.4
"Donovan Williams",78,190,"UNLV","USA","Undrafted","Undrafted","Undrafted","G","ATL",2,40,0,0,6,2,1,0,0,0,0
"Donte DiVincenzo",76,203,"Villanova","USA","2018","1","17","SG","GSW",72,43.5,39.7,81.7,124,9.4,4.5,3.5,1.6,1.3,0.1
